people,3515
coronavirus,2373
domestic,2319
police,2300
lockdown,2046
home,1813
abuse,1663
violence,1518
now,1413
health,1373
women,1371
government,1299
children,1176
help,1129
body,1047
covid,1037
many,1014
social,1006
uk,955
work,928
nhs,900
support,877
family,875
public,874
need,848
years,837
us,835
care,782
say,774
death,761
ms,743
daily,736
news,731
life,726
pandemic,712
want,709
woman,700
trans,691
national,685
street,676
cases,663
man,655
another,654
number,653
virus,651
victims,635
found,630
well,621
cent,620
never,613
testing,609
today,605
related,604
see,603
version,593
read,592
much,578
deaths,577
online,574
workers,570
think,567
crisis,566
months,561
staff,555
place,553
revealed,549
hospital,546
june,545
later,537
house,536
seen,533
star,533
country,532
put,523
come,518
night,516
mail,514
measures,513
call,512
court,509
minister,504
million,501
former,491
got,489
right,489
husband,488
without,484
every,483
show,481
chief,478
died,475
monday,474
schools,473
officers,473
working,470
sunday,470
wife,468
stay,467
set,466
risk,462
called,462
rules,462
world,461
lives,459
secretary,456
safe,455
school,454
good,452
state,448
video,447
according,446
johnson,443
use,443
person,442
next,440
vulnerable,440
update,440
men,439
london,439
boris,437
distancing,436
medical,435
ive,433
face,433
yasmeen,432
together,430
asked,429
crime,428
community,426
saying,420
left,417
heard,413
wrote,412
young,411
feel,410
tests,407
england,403
long,403
took,402
away,398
order,393
keep,391
must,390
part,390
calls,389
tuesday,384
australia,382
friends,382
following,381
able,381
four,381
came,379
friday,378
comes,378
clear,375
hit,374
president,374
assault,371
geoff,370
reported,370
services,370
charity,369
law,367
rowling,364
five,363
daughter,362
increase,359
went,359
wednesday,358
mental,357
used,357
group,357
announced,357
outside,357
case,354
already,354
restrictions,352
return,351
leave,350
relationship,350
due,349
warned,348
prime,348
force,347
child,342
ministers,342
mother,341
taken,339
likely,339
sexual,339
sex,338
professor,338
hours,338
couple,337
cant,334
thursday,334
find,334
whether,332
evidence,332
morning,332
past,332
second,331
trump,330
give,327
charities,327
amid,326
test,325
love,324
others,324
contact,323
coronation,322
live,321
states,320
taking,319
homes,317
open,316
city,315
money,315
claims,313
express,311
control,310
fans,309
look,309
service,309
shared,308
continue,308
advice,307
confirmed,307
different,305
victim,304
