people,2083
domestic,1416
government,1314
women,1266
now,1118
abuse,1099
violence,1051
police,970
australia,865
years,778
minister,761
us,730
family,726
children,717
work,716
need,690
home,662
coronavirus,633
today,630
health,624
court,620
news,615
support,614
national,613
body,611
well,599
australian,558
many,552
help,536
morrison,532
cases,522
guardian,507
public,497
womens,492
social,486
community,473
say,464
think,453
version,447
see,446
fire,442
group,438
life,436
prime,433
world,431
state,430
want,426
case,426
victims,418
services,414
woman,411
covid,402
care,402
every,392
found,389
budget,386
number,386
much,386
nsw,385
thats,385
got,378
uk,378
scott,376
change,369
another,367
office,363
place,363
right,360
staff,353
working,352
put,350
next,349
asked,345
months,336
former,336
part,333
house,331
good,327
south,326
come,324
heard,323
man,323
country,320
left,318
morning,317
report,315
men,311
whether,307
service,306
london,304
given,303
system,301
leave,300
already,298
victim,295
evidence,291
able,288
party,286
local,282
labour,282
impact,280
law,280
show,279
measures,274
labor,273
away,271
governments,270
night,268
never,267
school,267
called,267
keep,266
taken,266
response,266
international,266
must,264
death,264
continue,264
long,264
australians,263
issues,259
risk,258
emergency,257
climate,257
young,254
face,254
decision,253
crisis,252
queensland,251
set,251
saying,251
announced,250
used,250
look,249
workers,249
partner,248
use,248
might,246
seen,245
done,244
call,242
find,242
information,241
question,241
important,241
m,239
chief,239
business,238
advice,236
control,235
without,233
justice,233
stop,233
cant,233
four,232
following,231
funding,231
later,230
money,229
child,228
parliament,228
states,227
leader,226
making,226
took,226
weve,226
areas,225
far,225
act,224
lives,224
clear,223
live,223
communities,223
best,223
daily,220
ms,220
friday,220
issue,219
six,219
something,218
give,217
travel,215
sunday,215
ensure,214
due,213
went,213
plan,213
lot,212
means,212
member,212
access,211
theres,211
online,211
relationship,210
taking,209
high,209
trinity,208
stay,207
medical,206
big,206
confirmed,206
yesterday,206
division,206
sydney,206
story,205
difficult,205
hes,204
record,204
statement,204
killed,203
job,202
open,201
policy,201
members,201
order,200
five,200
hours,200
always,199
earlier,199
person,199
head,197
yet,197
general,197
economic,196
north,196
coming,195
action,195
bill,195
monday,194
needs,194
increase,193
press,193
ive,193
provide,193
past,193
looking,193
move,192
point,191
economy,190
youre,189
lost,189
together,189
almost,188
sure,188
close,187
came,187
doesnt,186
feel,186
early,186
election,186
trying,185
tuesday,185
second,184
virus,184
according,183
serious,183
likely,183
contact,183
hard,183
power,183
sexual,182
others,182
deal,182
charity,181
schools,181
crime,181
thursday,181
everyone,181
better,180
hit,179
different,178
fires,178
great,178
small,178
sports,177
love,177
photograph,176
sport,176
legal,176
despite,176
transcontinental,175
often,175
inc,175
reported,174
possible,174
future,174
campaign,174
east,173
getting,172
pay,172
enough,171
positive,171
victoria,171
reports,171
protect,170
wednesday,169
officers,168
anyone,168
start,168
northern,167
attack,167
forward,164
mental,164
political,163
federal,163
significant,162
council,162
parents,162
behaviour,162
trial,161
least,161
closed,160
problem,160
prison,160
current,159
wants,159
friends,158
died,158
theyre,157
criminal,157
believe,157
someone,156
vulnerable,156
phone,156
road,155
area,155
released,155
caroline,154
safe,154
comes,154
car,154
assault,153
officer,153
living,153
fact,153
s,153
border,153
thought,152
become,152
real,152
financial,152
sex,152
speaker,151
plans,151
husband,151
actually,151
daughter,151
aged,151
albanese,151
behind,150
towards,150
violent,150
murder,150
ministers,150
cut,149
johnson,148
less,148
centrelink,148
centre,148
mp,148
hospital,148
senator,147
projects,147
essential,147
everything,147
royal,147
families,147
full,146
tell,146
particularly,146
couple,146
emissions,146
figures,145
conditions,145
jobs,144
west,144
changes,143
zero,143
meet,142
needed,142
ago,142
outside,142
course,142
businesses,141
anthony,141
team,141
remain,141
guilty,141
stage,141
happened,140
harry,140
latest,140
within,140
university,140
late,140
department,139
package,139
read,139
calls,139
kids,139
testing,139
ahead,138
bank,138
relief,138
address,137
little,137
target,137
process,136
courts,136
moment,136
spread,136
mum,136
quite,135
ireland,135
result,135
try,134
expected,134
zealand,134
tv,134
focus,134
total,134
speaking,134
city,134
groups,133
opposition,133
safety,133
inquiry,133
wife,133
available,132
review,132
role,132
australias,132
leadership,131
warning,131
saturday,131
ask,131
sentence,131
sent,131
longer,130
industry,130
authorities,130
top,130
saw,130
situation,129
matter,129
tax,129
senate,129
meeting,129
message,129
society,128
accused,128
street,128
mike,128
though,127
security,127
held,126
rise,126
wont,126
mark,126
scotland,126
mps,126
million,126
bit,125
mother,125
politics,125
debate,125
talk,125
recent,125
abusive,124
crown,124
michael,124
sunak,124
thousands,124
free,123
judge,123
hope,123
period,123
soon,123
global,123
aid,122
hannah,122
front,122
decisions,122
stories,122
residents,122
female,122
terms,121
revealed,121
nothing,121
among,121
understand,121
wales,121
bring,120
along,120
single,120
cabinet,120
history,120
half,120
hand,120
met,119
father,119
market,119
meghan,119
premier,119
abc,119
tomorrow,119
side,119
company,119
strong,119
rape,118
payments,118
leaving,118
david,118
coast,118
rate,118
list,118
started,118
became,117
tested,117
male,117
mirrorcouk,116
crimes,116
received,116
homes,116
fund,116
hands,116
mean,116
rules,116
claims,116
issued,116
circumstances,116
level,116
known,115
previous,115
sector,115
line,115
personal,115
project,115
several,114
questions,114
committee,114
food,114
video,114
experience,114
using,113
seek,113
demand,113
large,113
wanted,113
calling,113
numbers,113
executive,113
spending,113
although,112
program,112
account,112
pandemic,112
comments,112
ship,112
final,111
key,111
gender,111
moving,111
allowed,111
speak,111
season,111
run,111
countries,111
include,111
december,111
deputy,111
legislation,111
incidents,110
particular,110
changed,110
payment,110
conference,110
wasnt,110
friend,110
makes,110
stimulus,109
welfare,109
girls,109
mail,109
speech,109
restrictions,109
dead,109
currently,108
hold,108
problems,108
post,108
defence,108
events,108
sheriff,108
physical,107
visit,107
position,107
happening,107
sick,107
territory,107
shows,107
fear,107
third,106
book,106
force,106
moved,106
claimed,106
incident,106
provided,106
felt,106
false,105
paul,105
forced,105
£bn,105
gave,105
affected,105
answer,104
let,104
increased,104
star,104
threat,104
talking,104
tried,104
anything,103
charge,103
prosecution,103
boris,103
lead,103
eight,103
age,102
scottish,102
alcohol,102
return,102
building,102
net,102
fight,102
concerns,101
worked,101
hearing,101
near,101
canberra,101
island,101
messages,101
indigenous,101
wrote,101
education,100
alleged,100
interest,100
son,100
secretary,100
england,100
based,100
paid,99
clarke,99
details,99
room,99
play,99
brexit,99
giving,99
email,98
major,98
shut,98
james,98
potential,98
experts,98
described,98
huge,98
scheme,98
gone,98
private,97
involved,97
movement,97
asking,97
comment,97
seven,96
recently,96
low,96
rather,96
knew,96
instead,96
shes,96
stand,96
name,96
capacity,96
nine,96
ayrshire,96
required,95
returned,95
rates,95
iwd,95
hunt,95
hour,95
raised,95
brought,94
depp,94
spent,94
claim,94
caused,94
admitted,94
began,94
smith,94
kelly,94
led,94
energy,94
centres,94
drug,93
quickly,93
central,93
cuts,93
murphy,93
allow,93
october,93
air,93
banks,93
town,93
recorded,93
trust,93
consider,92
committed,92
growth,92
duchess,92
old,92
property,92
bad,92
dailyrecordcouk,92
places,92
helped,91
related,91
agreed,91
watch,91
ill,91
deliver,91
true,91
isnt,91
bushfire,90
seeing,90
facing,90
housing,90
tonight,90
series,90
additional,89
president,89
distancing,89
grants,89
approach,89
programme,89
previously,89
commonwealth,89
allegations,89
chancellor,89
investment,88
board,88
decided,88
arrested,88
kill,88
commitment,88
website,88
dangerous,88
capital,88
peter,87
sitting,87
vote,87
british,87
via,87
charges,87
subject,87
images,86
spoke,86
infrastructure,86
deaths,86
whole,86
trade,86
flack,86
either,86
commission,86
wrong,86
happy,86
greater,85
evening,85
th,85
laws,85
remote,85
human,85
shadow,85
cps,85
investigation,85
test,85
cruise,85
cost,85
coercive,85
warned,85
id,85
expect,84
tells,84
included,84
looks,84
commissioner,84
probably,84
follow,83
todays,83
western,83
data,83
debt,83
remains,83
students,83
opportunity,83
throughout,82
ban,82
harm,82
parties,82
black,82
training,82
suspended,82
event,82
trans,82
short,82
view,81
rfs,81
putting,81
overseas,81
bn,81
water,81
cancelled,81
thank,81
phillips,81
played,81
resources,81
passed,81
white,81
research,80
offence,80
dad,80
youve,80
immediately,80
offer,79
peoples,79
relation,79
outbreak,79
continued,79
telling,79
remember,79
protection,79
forces,79
passengers,79
reporting,79
cash,79
sign,79
arrangements,78
offences,78
waiting,78
especially,78
partners,78
helping,78
release,78
£m,78
couldnt,78
streets,78
worst,78
damage,78
seems,78
andrew,78
chance,78
absolutely,78
failing,78
survivors,78
nearly,78
shared,77
horrific,77
qantas,77
mind,77
example,77
taylor,77
environment,77
running,77
affairs,77
director,77
sense,77
whats,77
happen,77
equality,77
signed,77
suffered,76
rest,76
interview,76
share,76
afternoon,76
confidence,76
united,76
gatherings,76
pressure,76
income,76
prevent,76
cent,76
park,75
concerned,75
matters,75
protest,75
film,75
aware,75
bbc,75
tests,75
agreement,75
john,75
bushfires,75
reasons,75
war,75
please,74
similar,74
management,74
leaders,74
range,74
duty,74
lets,74
marriage,74
simply,74
feeling,74
nation,74
bringing,74
minutes,74
china,74
inside,74
josh,74
gets,74
feminist,73
jail,73
respond,73
knife,73
normal,73
paris,73
technology,73
offenders,73
goes,73
update,73
richard,73
jailed,73
lewis,73
impacted,73
policies,72
tackle,72
concern,72
form,72
customers,72
worker,72
receive,72
mgn,72
experienced,72
biggest,72
sometimes,72
knows,72
benefits,72
recognise,72
treasury,71
continues,71
robert,71
apply,71
custody,71
greg,71
graphic,71
fiscal,71
convicted,71
actions,71
considered,71
grant,71
faced,71
repeatedly,71
reason,71
effect,71
continuing,70
round,70
extreme,70
murdered,70
turned,70
wait,70
ground,70
victorian,70
regional,70
whatever,70
win,70
melbourne,70
kind,69
worth,69
shelter,69
orders,69
unable,69
happiness,69
stabbed,69
abortion,69
corbyn,69
appeared,69
turn,69
football,69
seeking,69
hundreds,69
silence,69
official,69
june,68
region,68
written,68
reality,68
companies,68
includes,68
individuals,68
boyfriend,68
advised,68
attend,68
nhs,68
necessary,67
main,67
ready,67
critical,67
failed,67
majority,67
limited,67
clearly,67
charged,67
seriously,67
requirements,67
red,67
married,67
credit,67
rightwing,67
baby,67
eu,67
burning,66
takes,66
steps,66
whose,66
sky,66
mckenzie,66
relationships,66
ex,66
happens,66
candidates,66
idea,66
hasnt,66
finally,66
meanwhile,66
points,66
paper,66
refused,66
music,66
dutton,65
ongoing,65
drugs,65
raise,65
boost,65
citizens,65
break,65
yes,65
hear,65
lack,65
causing,65
poverty,64
selfisolate,64
coalition,64
experiencing,64
frydenberg,64
countrys,64
club,64
dealing,64
directly,64
obviously,64
special,64
judges,63
announcement,63
culture,63
individual,63
refuge,63
cause,63
common,63
spend,63
challenge,63
river,63
emotional,63
responsibility,63
sentenced,62
authority,62
rorts,62
driving,62
baxter,62
believes,62
parent,62
reach,62
extra,62
november,62
average,62
step,62
planning,62
supported,62
efforts,62
mothers,62
miss,62
direct,61
homeless,61
radio,61
voice,61
worried,61
flights,61
providing,61
brian,61
decade,61
ended,61
camilla,61
rose,61
suggested,60
bayford,60
panic,60
fans,60
completely,60
avoid,60
certain,60
shopping,60
wellbeing,60
guardianlondon,60
separate,60
voters,60
havent,60
organisation,60
liberal,60
conversation,60
isolation,60
doctors,60
higher,60
basis,60
powers,60
scene,59
alongside,59
politicians,59
residential,59
probation,59
station,59
holding,59
showed,59
standing,59
patients,59
girl,59
responsible,59
reading,59
costs,59
unless,59
denied,59
delivered,59
palace,59
mexico,58
broken,58
growing,58
labors,58
criticised,58
markets,58
wind,58
perpetrators,58
childrens,58
applications,58
controlling,58
anne,58
appeal,58
bail,58
increasing,58
youth,58
truth,58
ineligible,58
pregnant,58
population,57
gives,57
carbon,57
built,57
pictures,57
eligible,57
usually,57
starmer,57
greens,57
officials,57
perhaps,57
american,57
chris,57
beyond,57
c,57
term,57
designed,57
trump,57
mccormack,57
build,57
site,57
thinking,57
illness,57
alone,57
introduced,57
ways,57
thomas,56
quarantine,56
benefit,56
deep,56
organisations,56
sister,56
amid,56
wouldnt,56
urged,56
save,56
charities,56
inquest,56
nations,56
cover,56
joyce,56
fine,56
closure,56
note,56
maybe,56
foreign,56
arent,56
princess,55
manage,55
figure,55
allegedly,55
pretty,55
writing,55
hale,55
extremely,55
weather,55
adding,55
older,55
won,55
selfisolation,55
keeping,55
threatening,55
appropriate,55
senior,55
certainly,55
recovery,55
talks,55
twitter,55
names,55
confirm,55
auspol,55
weekend,55
sarah,55
bid,55
present,55
heart,55
attention,54
stuart,54
letter,54
coal,54
freedom,54
race,54
dropped,54
audit,54
mayor,54
lawyer,54
career,54
funds,54
theyve,54
books,54
stood,54
extraordinary,54
leftwing,54
surplus,54
fall,54
development,54
reached,54
light,54
attacks,54
chair,54
multiple,54
broke,54
nicole,54
suffering,54
motion,54
walk,54
supply,53
farmers,53
door,53
mckenzies,53
christmas,53
respect,53
prosecutors,53
tony,53
looked,53
italy,53
write,53
page,53
highest,53
checks,53
massive,53
lawyers,53
severe,53
stopped,53
ben,52
activists,52
starting,52
diagnosed,52
agree,52
nowra,52
aboriginal,52
transmission,52
bowersthe,52
treasurer,52
facilities,52
supporting,52
kerry,52
vital,52
leading,52
attempt,52
worse,52
bloomberg,52
priority,52
agencies,52
assessment,52
blog,52
thanks,52
price,52
lisa,52
reduce,52
candidate,52
rishi,52
encourage,52
playing,51
aap,51
understanding,51
facebook,51
attacked,51
interests,51
green,51
military,51
asks,51
approved,51
johnny,51
terrorism,51
primary,51
hanson,51
territories,51
created,51
easy,51
july,51
parts,51
text,51
employment,51
union,51
shown,51
universal,51
loss,51
brisbane,51
borders,51
path,50
chile,50
threatened,50
student,50
claiming,50
